dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
CMJ,local_mean,rocket-shap,MrSEQLClassifier,80,0.35195530726256985
CMJ,local_mean,rocket-shap,MrSEQLClassifier,90,0.3407821229050279
CMJ,local_mean,rocket-shap,MrSEQLClassifier,100,0.329608938547486
CMJ,global_mean,rocket-shap,MrSEQLClassifier,0,0.9608938547486033
CMJ,global_mean,rocket-shap,MrSEQLClassifier,10,0.6480446927374302
CMJ,global_mean,rocket-shap,MrSEQLClassifier,20,0.5139664804469274
CMJ,global_mean,rocket-shap,MrSEQLClassifier,30,0.4134078212290503
CMJ,global_mean,rocket-shap,MrSEQLClassifier,40,0.33519553072625696
CMJ,global_mean,rocket-shap,MrSEQLClassifier,50,0.2681564245810056
CMJ,global_mean,rocket-shap,MrSEQLClassifier,60,0.2737430167597765
CMJ,global_mean,rocket-shap,MrSEQLClassifier,70,0.26256983240223464
CMJ,global_mean,rocket-shap,MrSEQLClassifier,80,0.24581005586592178
CMJ,global_mean,rocket-shap,MrSEQLClassifier,90,0.21787709497206703
CMJ,global_mean,rocket-shap,MrSEQLClassifier,100,0.329608938547486
CMJ,global_gaussian,rocket-shap,MrSEQLClassifier,0,0.9608938547486033
CMJ,global_gaussian,rocket-shap,MrSEQLClassifier,10,0.6312849162011173
CMJ,global_gaussian,rocket-shap,MrSEQLClassifier,20,0.6089385474860335
CMJ,global_gaussian,rocket-shap,MrSEQLClassifier,30,0.5363128491620112
CMJ,global_gaussian,rocket-shap,MrSEQLClassifier,40,0.5139664804469274
CMJ,global_gaussian,rocket-shap,MrSEQLClassifier,50,0.5083798882681564
CMJ,global_gaussian,rocket-shap,MrSEQLClassifier,60,0.5027932960893855
CMJ,global_gaussian,rocket-shap,MrSEQLClassifier,70,0.4301675977653631
CMJ,global_gaussian,rocket-shap,MrSEQLClassifier,80,0.3240223463687151
CMJ,global_gaussian,rocket-shap,MrSEQLClassifier,90,0.329608938547486
CMJ,global_gaussian,rocket-shap,MrSEQLClassifier,100,0.329608938547486
CMJ,local_gaussian,rocket-shap,MrSEQLClassifier,0,0.9608938547486033
CMJ,local_gaussian,rocket-shap,MrSEQLClassifier,10,0.7541899441340782
CMJ,local_gaussian,rocket-shap,MrSEQLClassifier,20,0.7374301675977654
CMJ,local_gaussian,rocket-shap,MrSEQLClassifier,30,0.6480446927374302
CMJ,local_gaussian,rocket-shap,MrSEQLClassifier,40,0.6033519553072626
CMJ,local_gaussian,rocket-shap,MrSEQLClassifier,50,0.5027932960893855
CMJ,local_gaussian,rocket-shap,MrSEQLClassifier,60,0.46368715083798884
CMJ,local_gaussian,rocket-shap,MrSEQLClassifier,70,0.40782122905027934
CMJ,local_gaussian,rocket-shap,MrSEQLClassifier,80,0.3463687150837989
CMJ,local_gaussian,rocket-shap,MrSEQLClassifier,90,0.3407821229050279
CMJ,local_gaussian,rocket-shap,MrSEQLClassifier,100,0.3463687150837989
