dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Coffee,local_gaussian,rocket-shap,MrSEQLClassifier,0,1.0
Coffee,local_gaussian,rocket-shap,MrSEQLClassifier,10,0.9642857142857143
Coffee,local_gaussian,rocket-shap,MrSEQLClassifier,20,0.9642857142857143
Coffee,local_gaussian,rocket-shap,MrSEQLClassifier,30,0.9285714285714286
Coffee,local_gaussian,rocket-shap,MrSEQLClassifier,40,0.8571428571428571
Coffee,local_gaussian,rocket-shap,MrSEQLClassifier,50,0.75
Coffee,local_gaussian,rocket-shap,MrSEQLClassifier,60,0.6785714285714286
Coffee,local_gaussian,rocket-shap,MrSEQLClassifier,70,0.5714285714285714
Coffee,local_gaussian,rocket-shap,MrSEQLClassifier,80,0.5
Coffee,local_gaussian,rocket-shap,MrSEQLClassifier,90,0.4642857142857143
Coffee,local_gaussian,rocket-shap,MrSEQLClassifier,100,0.39285714285714285
